x f
4152.102 1.979466e-16
4153.821 2.095863e-16
4155.541 1.918886e-16
4157.261 1.981317e-16
4158.982 2.040749e-16
4160.704 1.959872e-16
4162.426 2.015208e-16
4164.150 1.948330e-16
4165.875 1.980455e-16
4167.594 1.940188e-16
4169.324 1.964399e-16
4171.051 2.019852e-16
4172.778 2.085223e-16
4174.506 2.007878e-16
4176.235 2.071540e-16
4177.964 2.085760e-16
4179.694 1.996015e-16
4181.424 2.030784e-16
4183.156 2.030226e-16
4184.888 2.059654e-16
4186.622 2.043351e-16
4188.353 1.917403e-16
4190.090 2.083978e-16
4191.825 2.078994e-16
4193.561 1.989993e-16
4195.298 2.059459e-16
4197.035 2.030110e-16
4198.773 2.005264e-16
4200.512 2.049145e-16
4202.252 2.061412e-16
4203.992 2.098881e-16
4205.733 1.955110e-16
4207.475 1.987606e-16
4209.218 2.036185e-16
4210.961 2.025920e-16
4212.705 1.996748e-16
4214.450 2.011931e-16
4216.195 1.946957e-16
4217.941 1.992092e-16
4219.688 1.959250e-16
4221.436 2.052455e-16
4223.184 1.946879e-16
4224.934 2.018988e-16
4226.683 2.050446e-16
4228.434 2.053179e-16
4230.185 2.079919e-16
4231.937 2.027237e-16
4233.690 2.012493e-16
4235.444 2.042355e-16
4237.198 2.000006e-16
4238.952 2.061903e-16
4240.708 1.968375e-16
4242.465 2.019904e-16
4244.222 2.111968e-16
4245.980 2.103277e-16
4247.738 1.996963e-16
4249.497 1.994529e-16
4251.257 1.980086e-16
4253.018 2.024219e-16
4254.779 2.003332e-16
4256.542 1.961204e-16
4258.304 2.017352e-16
4260.068 2.029757e-16
4261.832 2.020433e-16
4263.597 1.953333e-16
4265.363 2.013474e-16
4267.129 2.065299e-16
4268.896 2.002452e-16
4270.664 2.022789e-16
4272.432 1.941058e-16
4274.202 2.025932e-16
4275.972 1.974573e-16
4277.743 1.952232e-16
4279.514 2.014318e-16
4281.286 1.996150e-16
4283.059 1.972419e-16
4284.832 1.971772e-16
4286.607 2.071555e-16
4288.382 1.985916e-16
4290.157 2.050379e-16
4291.934 2.019786e-16
4293.710 2.028468e-16
4295.488 2.007902e-16
4297.267 2.013327e-16
4299.046 2.041778e-16
4300.826 1.952708e-16
4302.607 2.021058e-16
4304.388 1.962291e-16
4306.169 1.998747e-16
4307.952 2.070693e-16
4309.735 2.069092e-16
4311.520 1.985139e-16
4313.304 1.971320e-16
4315.090 1.935359e-16
4316.876 2.010910e-16
4318.663 1.994255e-16
4320.450 1.909215e-16
4322.239 1.946974e-16
4324.028 1.914203e-16
4325.817 2.004471e-16
4327.608 1.949648e-16
4329.399 1.886921e-16
4331.190 1.948941e-16
4332.983 1.919346e-16
4334.776 1.974977e-16
4336.570 1.950781e-16
4338.365 1.972402e-16
4340.160 1.942979e-16
4341.955 1.917064e-16
4343.752 1.931878e-16
4345.549 1.945205e-16
4347.347 1.920664e-16
4349.146 1.954382e-16
4350.945 1.985930e-16
4352.745 1.862124e-16
4354.546 1.925152e-16
4356.348 1.991588e-16
4358.150 1.936831e-16
4359.949 1.919390e-16
4361.756 1.978619e-16
4363.560 1.861143e-16
4365.365 1.913224e-16
4367.171 1.929201e-16
4368.977 1.892148e-16
4370.784 1.891898e-16
4372.591 1.860734e-16
4374.400 1.871192e-16
4376.208 1.932246e-16
4378.018 1.940493e-16
4379.828 1.911383e-16
4381.639 1.945278e-16
4383.451 1.990341e-16
4385.263 1.886351e-16
4387.076 1.916763e-16
4388.890 1.855722e-16
4390.705 1.918104e-16
4392.520 1.903508e-16
4394.335 1.898780e-16
4396.152 1.924391e-16
4397.969 1.862803e-16
4399.787 1.896544e-16
4401.605 1.884229e-16
4403.424 1.902921e-16
4405.244 1.880687e-16
4407.064 1.824399e-16
4408.886 1.833809e-16
4410.707 1.891496e-16
4412.529 1.922791e-16
4414.353 1.918139e-16
4416.177 1.910334e-16
4418.001 1.891602e-16
4419.826 1.868449e-16
4421.652 1.889085e-16
4423.479 1.877821e-16
4425.306 1.903908e-16
4427.133 1.859904e-16
4428.962 1.897292e-16
4430.792 1.863531e-16
4432.621 1.901385e-16
4434.451 1.880210e-16
4436.283 1.842329e-16
4438.115 1.890701e-16
4439.947 1.862588e-16
4441.780 1.930958e-16
4443.614 1.886630e-16
4445.449 1.868345e-16
4447.284 1.861037e-16
4449.119 1.907201e-16
4450.956 1.910463e-16
4452.793 1.867379e-16
4454.631 1.885001e-16
4456.470 1.966068e-16
4458.308 1.907883e-16
4460.148 1.873176e-16
4461.989 1.843181e-16
4463.830 1.902930e-16
4465.671 1.904330e-16
4467.514 1.885775e-16
4469.357 1.866741e-16
4471.201 1.865564e-16
4473.045 1.789686e-16
4474.890 1.800711e-16
4476.738 1.827216e-16
4478.582 1.810641e-16
4480.429 1.776044e-16
4482.277 1.853245e-16
4484.125 1.836351e-16
4485.974 1.765350e-16
4487.823 1.770060e-16
4489.674 1.759696e-16
4491.524 1.816266e-16
4493.376 1.719129e-16
4495.228 1.779512e-16
4497.079 1.785066e-16
4498.935 1.803855e-16
4500.788 1.774350e-16
4502.644 1.757797e-16
4504.499 1.745558e-16
4506.355 1.742099e-16
4508.212 1.811369e-16
4510.069 1.764106e-16
4511.927 1.756142e-16
4513.786 1.762670e-16
4515.645 1.723409e-16
4517.505 1.808875e-16
4519.366 1.824892e-16
4521.227 1.846724e-16
4523.088 1.749717e-16
4524.951 1.765010e-16
4526.814 1.798429e-16
4528.678 1.792571e-16
4530.542 1.771917e-16
4532.408 1.721275e-16
4534.273 1.775148e-16
4536.139 1.820343e-16
4538.007 1.797010e-16
4539.874 1.823862e-16
4541.742 1.787941e-16
4543.611 1.710050e-16
4545.481 1.805280e-16
4547.351 1.765981e-16
4549.221 1.780203e-16
4551.093 1.807823e-16
4552.965 1.808359e-16
4554.837 1.766613e-16
4556.711 1.761817e-16
4558.585 1.697059e-16
4560.460 1.766038e-16
4562.335 1.786940e-16
4564.211 1.740877e-16
4566.087 1.809040e-16
4567.964 1.778951e-16
4569.842 1.764040e-16
4571.720 1.754017e-16
4573.599 1.764179e-16
4575.479 1.810253e-16
4577.359 1.798819e-16
4579.241 1.769891e-16
4581.122 1.796184e-16
4583.003 1.862743e-16
4584.887 1.796234e-16
4586.770 1.827123e-16
4588.654 1.776590e-16
4590.539 1.791154e-16
4592.424 1.858215e-16
4594.310 1.894854e-16
4596.196 1.805897e-16
4598.083 1.813885e-16
4599.971 1.834029e-16
4601.859 1.920617e-16
4603.748 1.886272e-16
4605.638 1.852967e-16
4607.528 1.829920e-16
4609.420 1.887807e-16
4611.310 1.911183e-16
4613.202 1.888192e-16
4615.095 1.909127e-16
4616.989 1.921197e-16
4618.882 1.868546e-16
4620.777 1.936538e-16
4622.672 1.917108e-16
4624.567 1.974786e-16
4626.464 1.914921e-16
4628.361 1.918669e-16
4630.259 1.962163e-16
4632.157 1.884782e-16
4634.056 1.944938e-16
4635.956 1.968687e-16
4637.856 1.951178e-16
