 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
30802 ZTF18aawgyqy AGN 59673.84953700006 59794.71986109996 60356.01564810006 21 34 0.00269 0.00011 0.90961 26 25 0.00233 0.00015 0.94097
31043 ZTF18acejxql AGN 58400.72265999997 59739.94974539988 59956.637280100025 32 57 0.00411 0.00025 0.86698 33 61 0.0036 0.00022 0.88518
31097 ZTF18acvgwha AGN 58442.00466000009 59395.74733800022 60117.76928240014 157 63 0.00363 6e-05 0.93632 162 34 0.00405 0.0002 0.93573
31618 ZTF19aaxcbwf AGN 58607.97329859994 59855.802488400135 60122.95706020016 56 24 0.00282 0.00021 0.8511 54 27 0.00295 0.0002 0.90753
32310 ZTF20aavpuqg AGN 58940.73613000009 60036.81525459979 60403.815497700125 76 26 0.00356 0.00018 0.92154 110 26 0.00257 0.0002 0.85396
33670 ZTF22aaaeons AGN 59601.02145829983 59693.81487269979 60143.702997699846 5 52 0.0035 8e-05 0.94956 12 44 0.00325 0.0001 0.96528
34155 ZTF22abtcyin SN 59893.99064810015 59893.99064810015 60120.70644679992 3 32 0.0066 0.00035 0.95129 0 42 0.0069 0.00021 0.98297
34503 ZTF18aacjtlo AGN 58423.01329000015 59450.00283560017 60357.80160879996 312 105 0.00498 6e-05 0.95479 335 236 0.00385 3e-05 0.92991
34636 ZTF18abbtisc AGN 59090.68538190005 59889.62157410011 60204.644791699946 163 61 0.00614 0.0002 0.90967 153 41 0.00462 0.00025 0.89333
34806 ZTF18acpvngl AGN 58432.8944600001 59940.83791670017 60403.70621530013 146 40 0.00254 0.00012 0.86506 113 28 0.00221 0.00014 0.90389
35318 ZTF19abfdxus AGN 58644.814619999845 59773.7551851999 60231.63072919985 183 82 0.00508 7e-05 0.97435 229 90 0.00461 7e-05 0.96405
35431 ZTF19abrdytw AGN 58690.67082000012 59386.8208217998 59842.64355320018 115 91 0.00188 7e-05 0.91724 112 80 0.00176 8e-05 0.86501
36048 ZTF20abodaps AGN 59046.93863000022 59076.89675930003 60262.7042824002 65 88 0.00116 4e-05 0.89243 3 122 0.00106 3e-05 0.90577
36706 ZTF21abxowzx SN 59436.840428200085 59531.68920140015 60263.61303240014 18 104 0.00249 5e-05 0.94359 17 97 0.00242 5e-05 0.95533
36873 ZTF22aadesjc SN 59673.84856479988 59788.75945599983 60050.96787039982 32 39 0.00542 0.00017 0.9138 45 29 0.00583 0.00019 0.97663
37756 ZTF19aamrjar AGN 58568.00432999991 59164.63916670019 60398.99025460007 120 234 0.00097 2e-05 0.95991 133 244 0.001 2e-05 0.97175
37827 ZTF19aasbyvx AGN 58605.88413000014 60042.885659699794 60398.90364579996 552 122 0.0057 0.00014 0.89263 456 113 0.00504 0.00015 0.91977
37869 ZTF19aasescf AGN 59262.99921299983 59780.76534719998 60104.800451400224 88 33 0.00327 0.00014 0.89014 81 17 0.00343 0.00019 0.93279
38669 ZTF20acpzwrb AGN 59176.00308000017 59302.75697920006 59763.69854169991 27 59 0.00214 7e-05 0.94695 24 56 0.00192 8e-05 0.89059
38746 ZTF21aafdher AGN 59201.98994999984 59866.03486109991 60056.76879630005 54 16 0.00737 0.00039 0.94819 91 41 0.00618 0.00025 0.92507
