 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
2473 ZTF19abbwpby AGN 58634.922790000215 59685.98807869991 60201.7119907001 60 56 0.0016 0.0001 0.65054 67 69 0.00262 0.00013 0.8113
2535 ZTF19abdyisy AGN 58643.9586920999 59226.6879745 60261.70650460012 72 82 0.0008 4e-05 0.65344 78 60 0.0009 7e-05 0.5764
2547 ZTF19abegloi AGN 58646.94129629992 59497.79856480006 60284.60864580004 94 98 0.00142 5e-05 0.83478 95 77 0.00139 6e-05 0.78801
2646 ZTF19abizcpc AGN 59047.95474540023 59863.79504630016 60290.65041670017 60 51 0.00071 9e-05 0.52292 27 80 0.00059 5e-05 0.72229
2663 ZTF19abjfnnn AGN 58964.95447919984 59302.01708329981 60205.75989580015 30 120 0.00099 3e-05 0.70033 46 80 0.001 5e-05 0.66926
2693 ZTF19abjpgjl AGN 58677.97409000015 59166.80002309987 60392.65972220013 130 158 0.00052 3e-05 0.5203 57 236 0.00044 2e-05 0.50353
2820 ZTF19abnsmyn AGN 58672.92962000007 59783.88831020007 60285.65769679984 65 91 0.00177 6e-05 0.87435 71 60 0.00171 9e-05 0.77861
2849 ZTF19abpgtkp AGN 58706.95930999983 59158.83616899978 60314.61421300005 17 128 0.00056 2e-05 0.52514 29 54 0.00057 4e-05 0.65348
2876 ZTF19abrjtbw AGN 58721.95685000019 59795.933252300136 60353.65623839991 95 83 0.00252 6e-05 0.90456 97 58 0.00249 0.00011 0.87157
2986 ZTF19abyjmrj AGN 58723.98078700015 59151.89553239988 59966.73549770005 17 54 0.00126 5e-05 0.72529 5 52 0.00133 6e-05 0.76293
3031 ZTF19acbvvem AGN 58732.91954000015 59260.66695600003 60261.77464119997 39 79 0.00118 4e-05 0.70232 71 75 0.00095 4e-05 0.62909
3134 ZTF19ackzuvg AGN 58763.8560899999 59260.66601849999 60324.65674770018 91 77 0.00081 5e-05 0.56189 83 73 0.00077 5e-05 0.52558
3202 ZTF19acvijou AGN 58785.81882000016 59867.7720718002 60287.66175930016 93 53 0.00202 9e-05 0.88086 75 73 0.0018 7e-05 0.88776
3303 ZTF19adcbvyz AGN 58821.04434000002 59845.027002300136 60378.71675929986 91 52 0.00124 7e-05 0.61987 144 73 0.00144 7e-05 0.7995
3601 ZTF20aaghjsn AGN 58846.96525460016 59742.73825229984 60374.90337960003 170 55 0.00226 9e-05 0.82405 185 62 0.00273 0.00016 0.5935
3637 ZTF20aahideg NT 58852.62649000017 59530.789513899945 60334.66901620012 28 65 0.00148 6e-05 0.54725 33 55 0.00161 7e-05 0.65876
3676 ZTF20aaiokhw AGN 58846.93533999985 59899.97283559991 60398.891076399945 126 66 0.00134 7e-05 0.60754 131 52 0.00175 0.0001 0.76105
3686 ZTF20aaisbor AGN 59092.98875000002 59708.72053240007 60294.8922569002 83 59 0.00197 7e-05 0.88471 79 51 0.00276 0.00018 0.75598
3695 ZTF20aaixutj AGN 58871.76894999994 59638.71724539995 60403.78467589989 86 94 0.00072 5e-05 0.74469 102 150 0.00056 4e-05 0.59245
3745 ZTF20aakddye AGN 58964.919550000224 59600.96873839991 60221.63372689998 40 79 0.00078 6e-05 0.63046 49 54 0.00073 8e-05 0.52679
3782 ZTF20aamawcx AGN 58871.97512000008 59675.84755790001 60396.86226850003 188 176 0.00425 4e-05 0.57501 176 86 0.00613 8e-05 0.5769
3796 ZTF20aanakau AGN 59018.89166670013 59722.98432870023 60311.64089119993 139 108 0.00084 5e-05 0.60165 146 62 0.00194 0.0002 0.50107
3953 ZTF20aasivft AGN 58889.01970000006 59403.75587960007 60396.9560647998 62 114 0.0012 4e-05 0.80691 108 125 0.00072 4e-05 0.55845
4000 ZTF20aauowyg AGN 58914.9635999999 59356.81185190007 60392.03393519996 74 134 0.0012 3e-05 0.86425 78 139 0.00123 4e-05 0.8862
4029 ZTF20aavdvvt SN 58941.66010419978 59489.93343750015 60374.764270800166 73 56 0.00138 6e-05 0.80372 85 70 0.00142 5e-05 0.80937
4358 ZTF20abcojrd AGN 58970.923429999966 59393.90076390002 59849.67410880001 49 62 0.00136 8e-05 0.76727 43 56 0.00093 0.0001 0.54013
4754 ZTF20abovitj AGN 59371.91488429997 59680.00974539993 60284.65190970013 36 55 0.00095 8e-05 0.56952 18 88 0.00103 5e-05 0.70673
4840 ZTF20abualoz AGN 59316.99685190013 59711.90585649992 60311.62406249996 63 128 0.00096 5e-05 0.54998 104 148 0.00104 5e-05 0.56818
4845 ZTF20abujykh AGN 59092.948989999946 59263.63290510001 60352.62283559982 38 75 0.00066 3e-05 0.5708 6 82 0.00046 3e-05 0.577
4880 ZTF20abwsnzg AGN 59057.92145999987 59858.82204859983 60353.62315970007 80 66 0.00212 7e-05 0.91775 71 65 0.00199 8e-05 0.85712
4929 ZTF20abxvjja AGN 59093.00659719994 59808.00913190004 60399.66260420019 89 56 0.00158 8e-05 0.81506 51 85 0.00083 6e-05 0.62857
4933 ZTF20abxyfft AGN 59092.99577549985 59270.691064800136 60357.71460650023 55 96 0.0009 3e-05 0.71889 51 69 0.00073 4e-05 0.74259
4947 ZTF20acaazzf AGN 59092.94664000021 59623.755046300124 60323.79700230016 56 58 0.00119 7e-05 0.74086 66 77 0.00092 6e-05 0.61733
5007 ZTF20accwzkt AGN 59105.98674000008 59483.94320600014 60357.68971059984 46 63 0.00066 5e-05 0.51384 34 72 0.00067 4e-05 0.63712
5044 ZTF20aceumsy AGN 59088.901560000144 59768.91094909981 60284.68116899999 55 63 0.00189 7e-05 0.85953 58 58 0.00152 8e-05 0.83523
