 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
44347 ZTF18acdxblt AGN 58400.62337000016 59629.03203700017 59870.70438659983 13 122 0.00319 0.00015 0.67797 6 125 0.00258 0.00014 0.63687
44423 ZTF19abnrvsz AGN 58676.93430999992 59759.96086810017 60354.63432870014 313 105 0.00179 7e-05 0.79601 332 185 0.00105 5e-05 0.56964
44467 ZTF20aavyopv AGN 58937.88564810017 59682.835706000216 60134.69909719983 82 74 0.00103 7e-05 0.65789 68 85 0.00084 6e-05 0.65534
44531 ZTF21aaitzys AGN 59225.98908999981 59685.885810200125 60160.68267360004 165 201 0.0021 4e-05 0.87158 159 186 0.00199 5e-05 0.82128
44686 ZTF18acdwfgc AGN 58423.59263999993 59008.81084490009 59145.61868060008 63 54 0.00595 0.00033 0.80033 52 54 0.00509 0.00031 0.7637
44697 ZTF19aaaplpa AGN 58473.03575999988 59967.990289399866 60151.78061340004 351 76 0.00388 0.00025 0.61782 301 57 0.00416 0.00033 0.58083
44708 ZTF19aapfzyw AGN 58558.00910999999 59399.80692130001 59881.62060189992 413 178 0.00106 5e-05 0.50035 206 171 0.00126 4e-05 0.74802
44791 ZTF20abgdquh AGN 59018.8874400002 59776.92561340006 60238.75311340019 91 83 0.00125 7e-05 0.77247 95 59 0.00112 9e-05 0.78276
44964 ZTF19aaskxfg AGN 58572.83413999993 59300.83918979997 59765.733275500126 72 51 0.00116 7e-05 0.55858 22 86 0.00073 5e-05 0.62625
45061 ZTF21aasxorf AGN 59341.84775459999 59743.80357640004 60145.80123839993 33 74 0.00125 8e-05 0.71598 32 62 0.001 9e-05 0.61486
45295 ZTF18aaudhst AGN 58278.86344909994 58744.63986109989 60143.7742360998 86 298 0.00057 1e-05 0.51936 71 206 0.00061 2e-05 0.55233
45517 ZTF18admohwx AGN 59698.94597220002 59762.94143520016 60245.66513889981 27 69 0.00291 8e-05 0.60166 15 75 0.00248 7e-05 0.72763
45530 ZTF19aborgbq AGN 58676.936122700106 59991.6635532002 60262.76218750002 94 56 0.00133 0.00011 0.64853 143 52 0.00305 0.00031 0.51782
45583 ZTF18abnuflo AGN 58348.853981500026 59762.94143520016 60237.74817130016 141 66 0.00272 8e-05 0.61352 110 70 0.00241 7e-05 0.75151
45584 ZTF18abuifwq SN 58379.86841440015 59176.723518500105 60245.78799769981 214 121 0.00094 3e-05 0.77294 262 220 0.00151 2e-05 0.90555
45589 ZTF19aamjenr AGN 58548.01583330007 59064.80614579981 60179.70768520003 172 391 0.00141 2e-05 0.8713 172 397 0.00135 2e-05 0.88199
45707 ZTF21aaihgpr AGN 59249.01590280002 59823.8099769 60212.71819439996 198 158 0.00143 6e-05 0.68904 167 155 0.00153 6e-05 0.67906
45727 ZTF18adokxnh AGN 59640.86748840008 59695.77478010021 60398.88097220007 36 201 0.00253 5e-05 0.67781 8 387 0.00226 4e-05 0.74898
45741 ZTF20aadcbqo AGN 58853.02532410016 59358.9001042 59729.87878469983 14 74 0.00164 8e-05 0.58429 7 76 0.00138 7e-05 0.65473
45782 ZTF19adccidg AGN 58820.010220000055 59176.03013890004 59344.70438659983 85 94 0.00274 0.0002 0.56426 73 57 0.00304 0.00025 0.54927
45848 ZTF19abakkdq AGN 58628.794360000174 59695.86518519977 59789.68777780002 300 66 0.00505 0.00048 0.59194 169 75 0.00261 0.00026 0.55453
45849 ZTF19abjacpi AGN 58661.970869999845 59862.716678199824 60261.80037039984 248 78 0.00177 8e-05 0.84973 297 80 0.00149 8e-05 0.67146
45933 ZTF19aartnzj AGN 58572.81031000009 59187.99497690005 59370.76130789984 147 105 0.00487 0.00018 0.87055 110 102 0.00485 0.00018 0.81141
46094 ZTF18aaxsntq NT 58372.70784719987 58689.68005790003 59317.767442100216 26 106 0.00211 7e-05 0.5936 25 65 0.00208 0.00011 0.54869
46097 ZTF19aacprup AGN 58466.717399999965 58819.69061340019 59793.88401619997 87 117 0.00228 8e-05 0.64568 54 99 0.00147 7e-05 0.55106
46101 ZTF19aabjeni AGN 58462.96700999979 59930.84629630018 60326.9052546001 103 57 0.00283 0.0001 0.6975 129 906 0.00264 6e-05 0.64976
