 MJD mag magerr band
0 60113.4171314891 19.0152 0.048115 PS_w
0 60113.4043658748 18.9713 0.0450733 PS_w
0 60113.3916183714 18.9665 0.0485996 PS_w
0 60113.3788616439 19.0203 0.0534182 PS_w
0 60107.5588090713 19.2103 0.0517996 PS_w
0 60090.4625953525 18.9549 0.0323502 PS_w
0 60090.450464097 18.9659 0.0326866 PS_w
0 60090.4382809418 18.8967 0.0266975 PS_w
0 60090.4261693422 18.9211 0.0267868 PS_w
0 60030.6236234703 18.9045 0.0420976 PS_w
0 60030.6115825758 18.9042 0.0344003 PS_w
0 60030.5995034127 18.8994 0.0375483 PS_w
0 60030.587414832 18.9475 0.0426733 PS_w
0 59825.3388511291 18.7011 0.0398081 PS_w
0 59825.3382211003 18.732 0.0374916 PS_w
0 59825.3253295654 18.7133 0.0347921 PS_w
0 59825.3130187122 18.6746 0.0461187 PS_w
0 59825.312382055 18.7238 0.0420514 PS_w
0 59825.3000964503 18.6956 0.0346102 PS_w
0 59825.2994651678 18.6678 0.0408529 PS_w
0 59054.3260331974 18.209 0.0159835 PS_w
0 59054.3122547795 18.1996 0.0213826 PS_w
0 59054.2985871243 18.2107 0.028325 PS_w
0 59054.2849072898 18.2226 0.0251229 PS_w
0 59042.3465343447 18.2265 0.0177257 PS_w
0 59042.3330528992 18.2072 0.0171841 PS_w
0 59042.3196365276 18.198 0.0130515 PS_w
0 59042.3062264622 18.2248 0.0143583 PS_w
0 58660.3598593837 19.7827 0.229068 PS_w
0 58660.332550356 19.865 0.0672297 PS_w
0 58637.4249421345 19.9466 0.0576005 PS_w
0 58637.4112800178 20.054 0.0887712 PS_w
0 58631.4853184554 19.9286 0.0531075 PS_w
0 58631.4741822922 19.9831 0.0596747 PS_w
0 58631.4630807303 20.0503 0.0681552 PS_w
0 58631.4520534635 20.1142 0.0644439 PS_w
0 59778.335579302 18.5831 0.0822379 PS_w
0 59778.3240784057 18.6161 0.0870152 PS_w
0 59778.3125163461 18.5789 0.0692814 PS_w
0 59778.3009502627 18.5866 0.0523073 PS_w
0 59766.3721862895 18.4546 0.0203951 PS_w
0 59766.3599919197 18.4752 0.0189851 PS_w
0 59766.3477798359 18.4767 0.0223802 PS_w
0 59766.3356120242 18.4779 0.0235798 PS_w
0 59665.5816313103 18.4801 0.0195989 PS_w
0 59665.5808280786 18.6267 0.0246775 PS_w
0 59529.246492843 18.3592 0.0375714 PS_w
0 59529.2349879179 18.316 0.0386125 PS_w
0 59529.2234712946 18.3558 0.0424554 PS_w
0 59529.2119631964 18.3371 0.0334674 PS_w
0 59051.4925769679 18.1537 0.0192345 PS_w
0 59051.4815342957 18.1495 0.0193039 PS_w
0 59051.470450736 18.1409 0.0200003 PS_w
0 59051.4594126557 18.1582 0.0256014 PS_w
0 58719.3987736016 19.3007 0.0453669 PS_w
0 58719.3872306108 19.2369 0.0417885 PS_w
0 58719.3756951379 19.1745 0.0372021 PS_w
0 58719.3641361687 19.2346 0.0443687 PS_w
0 56743.58196244334 14.598249637668683 0.08990504249855345 WISE_W1
0 57105.64528346528 14.664042698085742 0.43333844801300003 WISE_W1
0 57282.73795661428 14.65976719429139 0.18327980665732016 WISE_W1
0 57469.88911671112 14.705496710032506 0.12257252828981714 WISE_W1
0 57642.718611282726 14.700210252804933 0.26138307701084723 WISE_W1
0 57836.96046394612 14.759411942889871 0.37441126213012976 WISE_W1
0 58004.64886135235 14.756471011553188 0.11188188903225403 WISE_W1
0 58201.1320194875 14.773055217497472 0.2055829455475334 WISE_W1
0 58365.16434531648 14.71743101318176 0.11843760858792982 WISE_W1
0 58565.93379330335 14.734837451416029 0.42574742895746154 WISE_W1
0 58932.44760704562 14.412083523176626 0.10500042782650933 WISE_W1
0 59096.396707428336 14.289976136553548 0.06520293581968664 WISE_W1
0 59296.759984895005 14.17305435834883 0.0993990119681623 WISE_W1
0 59460.63194828294 14.154266007001011 0.06957751894016154 WISE_W1
0 59662.166819419 14.129045757470823 0.1031945519664462 WISE_W1
0 59825.885339290384 14.133922433365393 0.14143717634367226 WISE_W1
0 56743.58196244334 13.623049738189582 0.10613276393389053 WISE_W2
0 56923.274052274704 13.601466938027965 0.21177594741403996 WISE_W2
0 57469.88911671112 13.685148623367468 0.11477117599600618 WISE_W2
0 58004.64886135235 13.79939413676131 0.13414708139339743 WISE_W2
0 58365.16434531648 13.80268792563024 0.16451934815381147 WISE_W2
0 58932.44760704562 13.548627426095498 0.13091706284419144 WISE_W2
0 59096.396707428336 13.403449587731329 0.07565410239951657 WISE_W2
0 59296.759984895005 13.385310308327512 0.11479279508082878 WISE_W2
0 59460.63194828294 13.313627333986714 0.1092503869962184 WISE_W2
0 59662.166819419 13.229452294140817 0.1183300703775484 WISE_W2
0 59825.885339290384 13.264373435503938 0.095248452751104 WISE_W2
0 58523.00971060013 20.550833483091154 0.030519751646528093 ZTF_g
0 58540.98209490022 20.4902281702644 0.025095321381005675 ZTF_g
0 58541.96537039988 20.449914123792965 0.019691060707973662 ZTF_g
0 58559.00033560023 20.3875679900627 0.009834176766430502 ZTF_g
0 58562.02619209979 20.3007620213993 0.047435469776621275 ZTF_g
0 58568.00432869978 20.358466006239553 0.04257430865079037 ZTF_g
0 58569.92231479986 19.832711484691565 0.05003691445381975 ZTF_g
0 58573.966851899866 20.123651633934386 0.006983638292593852 ZTF_g
0 58573.96776620019 20.22936685358151 0.007699887263889593 ZTF_g
0 58576.0172917 20.061346507679865 0.05368973663469845 ZTF_g
0 58580.94078700012 20.038477324520347 0.011089474481075001 ZTF_g
0 58581.96908560023 19.907330654604205 0.004302841749071362 ZTF_g
0 58582.99829859985 19.952378549882923 0.002725638918715134 ZTF_g
0 58584.97642360022 20.042733896626093 0.004099637072348727 ZTF_g
0 58584.97734950017 20.002414826263706 0.004774544713932016 ZTF_g
0 58586.971597199794 19.96965623991979 0.004472775565011133 ZTF_g
0 58587.95719909994 19.946392683515672 0.005240836068988841 ZTF_g
0 58587.9581133998 19.858029306405772 0.00330265156139653 ZTF_g
0 58588.97619209997 20.001984021278123 0.003356397470737349 ZTF_g
0 58596.98030090006 19.82728606652514 0.0080069123604396 ZTF_g
0 58599.79940970009 19.98985087847143 0.006015074527788045 ZTF_g
0 58600.98162040021 19.83058046720715 0.0025183949695524177 ZTF_g
0 58605.98196760006 19.986283720072496 0.002937109992762643 ZTF_g
